H_CR_DR              | 1 | 0 | Char | ACC_PREGOLIVE_R.REP  | ACC_PREGOLIVE_REP1   | User Additional | DYN_TRNRP_CS
F_CURRENCY           | 3 | 0 | Char | ACC_PREGOLIVE_R.REP  | ACC_PREGOLIVE_REP1   | User Additional | DYN_TRNRP_CS
H_PRFTCNTR           | 10 | 0 | Char | ACC_PREGOLIVE_R.REP  | ACC_PREGOLIVE_REP1   | User Additional | DYN_TRNRP_CS
CNT_ORG              | 10 | 0 | Numeric | ACC_PREGOLIVE_R.REP  | ACC_PREGOLIVE_REP1   | User Additional | DYN_TRNRP_CS
H_ACCOUNT            | 15 | 0 | Char | ACC_PREGOLIVE_R.REP  | ACC_PREGOLIVE_REP1   | User Additional | DYN_TRNRP_CS
H_CLT_CODE           | 15 | 0 | Char | ACC_PREGOLIVE_R.REP  | ACC_PREGOLIVE_REP1   | User Additional | DYN_TRNRP_CS
F_AMOUNT             | 21 | 4 | American | ACC_PREGOLIVE_R.REP  | ACC_PREGOLIVE_REP1   | User Additional | DYN_TRNRP_CS
H_CR_DR              | 1 | 0 | Char | ACC_PREGOLIVE_R2.REP | ACC_PREGOLIVE_REP2   | User Additional | DYN_TRNRP_CS
F_CURRENCY           | 3 | 0 | Char | ACC_PREGOLIVE_R2.REP | ACC_PREGOLIVE_REP2   | User Additional | DYN_TRNRP_CS
H_PRFTCNTR           | 10 | 0 | Char | ACC_PREGOLIVE_R2.REP | ACC_PREGOLIVE_REP2   | User Additional | DYN_TRNRP_CS
CNT_ORG              | 10 | 0 | Numeric | ACC_PREGOLIVE_R2.REP | ACC_PREGOLIVE_REP2   | User Additional | DYN_TRNRP_CS
H_ACCOUNT            | 15 | 0 | Char | ACC_PREGOLIVE_R2.REP | ACC_PREGOLIVE_REP2   | User Additional | DYN_TRNRP_CS
H_CLT_CODE           | 15 | 0 | Char | ACC_PREGOLIVE_R2.REP | ACC_PREGOLIVE_REP2   | User Additional | DYN_TRNRP_CS
F_AMOUNT             | 21 | 4 | American | ACC_PREGOLIVE_R2.REP | ACC_PREGOLIVE_REP2   | User Additional | DYN_TRNRP_CS
CURRENCY             | 4 | 0 | Char | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
CURRENCY1            | 4 | 0 | Char | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
NB                   | 10 | 0 | Numeric | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
TP_PFOLIO            | 15 | 0 | Char | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
