NB_EXT               | 10 | 0 | Numeric | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
PLIRDCUR1            | 3 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
PLIRDCUR2            | 3 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
QTY_INDEX            | 3 | 0 | Numeric | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
AMNT_BRK             | 19 | 2 | Numeric | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
AMNT_NOBR            | 19 | 2 | Numeric | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
AMNT_OPRM            | 19 | 2 | Numeric | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
AMNT_OSTL            | 19 | 2 | Numeric | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
AMNT_OTH             | 19 | 2 | Numeric | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
AMNT_UCAP            | 19 | 2 | Numeric | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
AMNT_UOTH            | 19 | 2 | Numeric | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
AMNT_UREV            | 19 | 2 | Numeric | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
AMNT_UROLL           | 19 | 2 | Numeric | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
F_AMOUNT             | 21 | 4 | American | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
F_CURRENCY           | 3 | 0 | Char | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
F_OBSCOM             | 1 | 0 | Char | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
F_TYPE               | 10 | 0 | Char | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
F_VALUE              | 8 | 0 | Date | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
INSTRUMENT           | 20 | 0 | Char | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
TP_CNTRP             | 15 | 0 | Char | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
TP_BUY               | 1 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_BUY_V             | 1 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_CNTRP             | 15 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_CREATOR           | 10 | 0 | Numeric | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_DSCTYPE           | 30 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_DTEEXP            | 8 | 0 | Date | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_DTEPMT            | 8 | 0 | Date | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_DTEPMT2           | 8 | 0 | Date | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_DTETRN            | 8 | 0 | Date | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_ENTITY            | 10 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_FXBASE            | 3 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_FXUND             | 3 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_IQTY              | 24 | 8 | American | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_IQTYS             | 24 | 8 | American | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_MOPLST            | 1 | 0 | Numeric | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_NBLTI             | 10 | 0 | Numeric | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_NOMCUR            | 3 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_NOMINAL           | 19 | 2 | American | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_PFOLIO            | 15 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_PRICE             | 23 | 6 | Numeric | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_QTYEQ             | 24 | 8 | American | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_QTYEQS            | 24 | 8 | American | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_SMAMT             | 16 | 2 | Numeric | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_SMCUR             | 3 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_SMRTE             | 9 | 4 | Numeric | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_STATUS2           | 10 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_TRADER            | 10 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_TRNTYPE           | 30 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_TYPO              | 20 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TP_VALSTAT           | 4 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TRN_FMLY             | 5 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
TRN_GRP              | 5 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
CMM_ODFC0            | 3 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
CMM_ODFC1            | 3 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
CMM_ODNC0            | 3 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
CMM_ODNC1            | 3 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
CRT_BND12            | 8 | 0 | Date | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
C_CUR_PL             | 3 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
NB                   | 10 | 0 | Numeric | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
PL_INSCUR            | 20 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
PL_MVFCP0            | 23 | 6 | American | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
PL_MVFCP1            | 23 | 6 | American | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
PL_MVFCP2            | 23 | 6 | American | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_BUY               | 1 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_CNTRP             | 15 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_DTEEXP            | 8 | 0 | Date | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_DTEEXPC           | 10 | 0 | Numeric | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
