XG_FIXRT1            | 16 | 5 | Numeric | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_FIXRT2            | 16 | 5 | Numeric | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_INDEX             | 20 | 0 | Char | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_LEG               | 3 | 0 | Numeric | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
ACT_P_L_1            | 25 | 2 | American | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | 
ACT_P_L__            | 12 | 2 | American | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | 
DATE                 | 8 | 0 | Date | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | 
INSTRUMEN            | 10 | 0 | Char | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | 
PORTFOLIO            | 16 | 0 | Char | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | 
P_L__LOCA            | 25 | 2 | American | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | 
P_L__NOTP            | 12 | 2 | American | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | 
TRADE_NUM            | 10 | 0 | Numeric | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | 
