TP_PFOLIO            | 15 | 0 | Char | TP_CM.REP            | DYN_TP_CM            | Murex | DYN_TRNRP_PL        
TP_FXUST             | 12 | 6 | Numeric | TP_FX.REP            | DYN_TP_FX            | Murex | DYN_TRNRP_PL        
TP_PFOLIO            | 15 | 0 | Char | TP_FX.REP            | DYN_TP_FX            | Murex | DYN_TRNRP_PL        
TP_STRIKE            | 18 | 8 | Numeric | TP_OPT.REP           | DYN_TP_OPT           | Murex | DYN_TRNRP_PL        
TP_STRIKE2           | 18 | 8 | Numeric | TP_OPT.REP           | DYN_TP_OPT           | Murex | DYN_TRNRP_PL        
TP_RTUINS0           | 20 | 0 | Char | TP_RT.REP            | DYN_TP_RT            | Murex | DYN_TRNRP_PL        
TP_RTUINS1           | 20 | 0 | Char | TP_RT.REP            | DYN_TP_RT            | Murex | DYN_TRNRP_PL        
TP_RTVF02            | 16 | 2 | American | TP_RT.REP            | DYN_TP_RT            | Murex | DYN_TRNRP_PL        
TP_RTVF12            | 16 | 2 | American | TP_RT.REP            | DYN_TP_RT            | Murex | DYN_TRNRP_PL        
CASH                 | 18 | 6 | American | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
CURRENCY             | 4 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
DCURRENCY            | 4 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
FAMILY               | 16 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
FX_DELTA             | 18 | 6 | American | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
GROUP                | 5 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
INSTRUMEN            | 15 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
PORTFOLIO            | 16 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
TYPE                 | 16 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
TYPOLOGY             | 21 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
FAMILY               | 16 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
FUTURE               | 18 | 6 | American | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
GROUP                | 5 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
INSTRUMEN            | 15 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
MV                   | 18 | 6 | American | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
PAST                 | 18 | 6 | American | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
MP_SPOT2             | 18 | 8 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MP_SPOT20            | 18 | 8 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MP_SPOT21            | 18 | 8 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MP_SPOT22            | 18 | 8 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MP_UPRC0             | 24 | 8 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
