NB_RQ_GRPS           | 24 | 0 | Numeric | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
UNIT                 | 25 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
TYPE                 | 32 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
VERSION              | 32 | 0 | Numeric | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
COL_BOOK             | 36 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
CTP                  | 36 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
LEGL_AGRMT           | 36 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
OURSELVES            | 36 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
PORTFOLIO            | 36 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
ALLC_AMNT            | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
AMNT_AGRED           | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
AS_COL_VAL           | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
CTP_AMNT             | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
CTP_CTPIA            | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
CTP_IT               | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
CTP_MTM              | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
CTP_OURIA            | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
CTP_SETL             | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
DSPAMNT              | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
DSP_AMNT             | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
FX_RATE              | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
HAIRCUT              | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
LOT_SIZE             | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
OUR_AMNT             | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
OUR_CTPIA            | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
OUR_IT               | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
OUR_MTM              | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
OUR_OURIA            | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
OUR_SETL             | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
