CNT_ORG              | 10 | 0 | Numeric | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
CNT_SRCMOD           | 21 | 0 | Char | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
CNT_STLMTD           | 21 | 0 | Char | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
CNT_TYPO             | 21 | 0 | Char | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
CNT_USG              | 21 | 0 | Char | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
CNT_VS0              | 6 | 0 | Numeric | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
CNT_VS1              | 6 | 0 | Numeric | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
CNT_VS2              | 6 | 0 | Numeric | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
CONTRACT             | 10 | 0 | Numeric | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
C_CUR_PL             | 3 | 0 | Char | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
C_PL_DT              | 10 | 0 | Char | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
H_CP                 | 1 | 0 | Char | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
H_DLVIND             | 1 | 0 | Char | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
H_FTCSHSGD           | 23 | 6 | Numeric | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
H_FTCSHUSD           | 23 | 6 | Numeric | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
PL_CG_CNV            | 16 | 4 | American | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
TRN_GRP              | 5 | 0 | Char | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
FINAN_CNV            | 16 | 4 | American | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
CNT_TYPO             | 21 | 0 | Char | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
TRN_FMLY             | 5 | 0 | Char | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
RSKSECTIO            | 20 | 0 | Char | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
CASH_CNV             | 16 | 4 | American | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
PLMTM_CNV            | 23 | 4 | American | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
RSKSECTIO            | 20 | 0 | Char | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
PL_CG_CNV            | 16 | 4 | American | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
ORIG_NB              | 10 | 0 | Numeric | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
MV_CNV               | 16 | 4 | American | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
PL_INSCUR            | 3 | 0 | Char | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
CNT_TYPO             | 21 | 0 | Char | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
CNT_DSC              | 51 | 0 | Char | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
CASH_CNV             | 16 | 4 | American | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
REVEN_CNV            | 16 | 4 | American | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
PL_KEY1              | 21 | 0 | Char | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
FEES_CNV             | 16 | 4 | American | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
TRN_TYPE             | 5 | 0 | Char | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
TRN_FMLY             | 5 | 0 | Char | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
PV_EF_CNV            | 16 | 4 | American | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
POS_ID               | 10 | 0 | Numeric | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
PORTFOLIO            | 15 | 0 | Char | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
FINAN_CNV            | 16 | 4 | American | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
NB                   | 10 | 0 | Numeric | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
INST_REF             | 10 | 0 | Char | PL_BKD_CNV_D.REP     | DYN_PL_BKD_CNV_D     | Murex | Simulation
INSTRUMENT           | 35 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MP_SPOT0             | 18 | 8 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MP_SPOT1             | 18 | 8 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_SE_MQUO            | 16 | 6 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
