Dynamic table type,Dynamic table field,field type,dbs.csv,hsbc.csv,taishin.csv,uob.csv,vietin.csv,woori.csv
DYN_TRNRP_PL,PL_PVR2,American,3,2,1,1,1,1
DYN_TRNRP_PL,PL_PVR1,American,3,2,0,0,0,0
DYN_TRNRP_PL,PL_PVR0,American,3,2,0,0,0,0
DYN_TRNRP_PL,TP_SECCOD,Char,13,22,2,6,1,6
DYN_TRNRP_PL,BDAYS_CAL,Numeric,2,0,0,0,0,0
DYN_TRNRP_PL,YEST_PL,Numeric,0,2,0,0,0,0
DYN_TRNRP_MV,H_FIN_RATE,Numeric,0,0,0,0,0,4
,SENIORITY,Char,0,1,0,0,0,0
DYN_TRNRP_PL,PL_FE2,American,14,38,2,4,3,11
DYN_TRNRP_PL,PL_FE1,American,10,37,1,1,1,2
DYN_TRNRP_PL,PL_FE0,American,5,37,0,0,0,1
,MV_NFSM1,American,0,2,0,0,0,0
Simulation,U_NON_PAS,American,0,0,0,0,0,1
Simulation,BPV_PAR__,American,0,0,0,0,0,2
DYN_TRNRP_CS,F_TYPO4,Char,15,1,0,0,4,0
DYN_TRNRP_CS,F_CTP,Char,0,4,1,0,4,1
DYN_TRNRP_CS,F_TYPO2,Char,16,1,0,0,0,0
DYN_TRNRP_CS,F_TYPO1,Char,15,4,0,0,0,0
DYN_TRNRP_CS,F_TYPO0,Char,16,1,2,3,6,3
Copy Creation,NODE_ID,Numeric,1,0,0,0,0,0
,TRN_BS,Char,0,1,0,0,0,0
,XG_FIXRT1,Numeric,0,1,0,0,0,0
Collateral,_VPOST_US1,Numeric,0,0,0,0,0,1
DYN_TRNRP_CS,AMD_STS,Char,0,0,1,1,1,0
DYN_TRNRP_PL,TP_RTVLC12,Numeric,15,11,2,1,1,5
DYN_TRNRP_PL,TP_RTVLC10,Numeric,6,8,0,0,1,1
DYN_TRNRP_PL,TP_PRICE,Numeric,39,34,1,5,6,20
Simulation,SL_FMV,Numeric,0,0,0,0,0,2
Copy Creation,WK_MTENDHK,Numeric,1,0,0,0,0,0
PL VAR,TPID,Numeric,1,0,0,0,0,0
DYN_TRNRP_PL,PL_SGD,Numeric,2,0,0,0,0,0
DYN_TRNRP_CS,AMNT_NOBR,Numeric,1,0,0,0,0,0
Simulation,BASIS_RSK,American,0,0,1,1,1,0
Simulation,MV__CAP_,American,5,0,0,0,0,0
Deliverable Cash,DF_VER,Numeric,0,0,0,0,0,1
Simulation,MV_FIN,American,0,0,0,0,0,4
DYN_TRNRP_MV,TP_RTPR0,Char,18,0,1,4,0,4
Collateral,MRG_AMOUNT,Numeric,0,0,0,0,0,2
Collateral,CALL_DLVR,Char,0,0,0,0,0,3
DYN_TRNRP_PL,TP_LQTY30,American,4,10,0,0,1,0
DYN_TRNRP_PL,TP_LQTY31,American,5,10,0,0,1,0
DYN_TRNRP_PL,TP_LQTY32,American,10,10,1,1,3,0
DYN_TRNRP_PL,D_CONVR_M,Numeric,1,0,0,0,0,0
DYN_TRNRP_SV,RSKSECTION,Char,1,0,0,0,0,0
DYN_TRNRP_PL,H_F_PAYOUT,Char,0,0,2,0,0,0
DYN_TRNRP_CS,FA_PSUBTYP,Char,1,0,0,0,0,0
DYN_TRNRP_PL,ROLL_CONV,Char,0,1,0,0,0,0
DYN_TRNRP_MV,CMX_FBF2,Numeric,0,0,0,0,0,1
Simulation,GK_GAMMA,Numeric,0,0,5,0,0,0
DYN_TRNRP_CS,D_P_CODE,Char,2,0,0,0,0,0
,PAY_DAT,Date,0,3,0,0,0,0
49,GROUP,Char,0,0,0,1,0,0
DYN_TRNRP_PL,FX_PLCUR_Y,Numeric,0,1,0,0,0,0
49,EL_COLLAT,Numeric,0,0,0,1,0,0
DYN_TRNRP_CS,F_AMOUNTF,Numeric,1,2,0,2,1,0
DYN_TRNRP_PL,TP_FXSPMRG,Numeric,0,14,2,0,0,0
DYN_TRNRP_MV,TP_LQTY32,American,2,0,0,0,0,0
DYN_TRNRP_MV,TP_LQTY31,American,2,0,0,0,0,0
DYN_TRNRP_MV,TP_LQTY30,American,2,0,0,0,0,0
Simulation,THEO_VOLA,Numeric,3,0,0,0,0,0
,ACT_P_L__,American,0,0,0,0,0,2
DYN_TRNRP_PL,ECN_TRA_ID,Numeric,0,1,0,0,0,0
51,SOURCE,Char,2,0,0,0,0,0
Copy Creation,DEN,Char,3,0,3,5,4,4
,MK_SUBTYPE,Char,0,1,0,0,0,0
DYN_TRNRP_CS,H_CPTYPE,Numeric,2,0,0,0,0,0
DYN_TRNRP_PL,TP_ATMPRM1,Numeric,1,0,0,0,0,0
DYN_TRNRP_PL,TP_ATMPRM0,Numeric,1,0,0,0,0,0
Accounting (Reporting),ACCOUNT,Char,1,0,0,0,0,0
DYN_TRNRP_PL,D_STATUS,Numeric,1,0,0,0,0,0
Collateral,MATURITY,,0,0,0,0,0,4
DYN_TRNRP_XG,XG_FIXED,Char,4,4,1,2,1,3
DYN_TRNRP_PL,RSKSECTION,Char,14,10,5,7,7,6
DYN_TRNRP_MK,H_LATE_TRD,Char,1,0,0,0,0,0
DYN_TRNRP_PL,H_REC_CURR,Char,0,0,0,0,1,0
,AVP_CAT,Char,0,3,0,0,0,0
DYN_TRNRP_PL,CNT_SRCMOD,Char,0,24,4,2,7,1
DYN_TRNRP_PL,H_XIT_AMT,Numeric,1,0,0,0,0,0
DYN_TRNRP_PL,D_STARTDT0,Date,1,0,0,0,0,0
Simulation,EQ_GAMBUC,Numeric,1,0,0,0,0,0
Simulation,IR_RISK_1,American,0,0,1,1,1,0
Simulation,ORIG_NB,Numeric,6,2,12,7,7,2
Simulation,OURRATE,Char,1,0,0,0,0,0
DYN_TRNRP_MK,CNTNAEVTL2,Char,1,0,0,0,0,0
,X_CUR,Char,0,3,0,0,0,0
Data Dictionary (Market Data Loader),ABSASK,Numeric,0,0,1,0,0,0
Accounting (Reporting),NB_PREV,Numeric,1,0,0,0,0,0
Simulation,TRAD_PRICE,Numeric,0,1,0,0,0,0
DYN_TRNRP_PL,CR_DB_R,Char,2,0,0,0,0,0
DYN_TRNRP_PL,H_BS,Char,1,6,0,0,0,0
DYN_TRNRP_PL,SC2_UQTY,Numeric,1,0,0,0,0,0
Simulation,CLIENT_DO,Numeric,0,0,0,0,0,1
DYN_TRNRP_PL,PLIRDFCS22,American,0,7,0,2,0,0
DYN_TRNRP_CS,TP_DIGPAY,Numeric,0,0,0,2,0,0
Liquidation Positions,ACCSECTIO,Char,0,0,0,0,0,5
DYN_TRNRP_MV,TP_PRICEV,Numeric,0,0,0,0,0,3
DYN_TRNRP_MV,MV_FMV_PL,Numeric,10,0,0,0,0,0
DYN_TRNRP_CS,TP_SECSTL,Char,0,2,0,0,0,0
DYN_TRNRP_CS,H_UND_AMT,Numeric,0,1,0,0,0,0
Accounting,EN_SIGN,Numeric,0,0,1,0,0,0
DYN_TRNRP_PL,TP_RTMCLC1,Char,1,1,0,0,0,0
DYN_TRNRP_CS,ROLL_DAY,Char,0,4,0,0,0,0
Simulation,CUR_SET,Char,0,1,0,0,0,0
DYN_TRNRP_SV,SV_INS13_1,Char,2,0,0,1,0,0
DYN_TRNRP_SV,SV_INS13_0,Char,2,0,0,1,0,0
DYN_TRNRP_PL,H_PRI,Numeric,0,0,1,0,0,0
DYN_TRNRP_PL,TODAY,Date,0,2,0,0,0,0
Simulation,IR_GAMBUC,Numeric,1,0,0,0,0,0
DYN_TRNRP_MK,CMM_ODNC0,Char,1,0,0,0,0,0
DYN_TRNRP_MK,CMM_ODNC1,Char,1,0,0,0,0,0
51,COL_DIR,Char,2,0,0,0,0,0
DYN_TRNRP_PL,H_SUMMITID,Numeric,0,2,0,0,0,0
DYN_TRNRP_CS,TP_CREATOR,Numeric,6,0,0,0,0,0
DYN_TRNRP_PL,D_SETLMOD,Char,1,0,0,0,0,0
DYN_TRNRP_PL,H_FXIPLGB1,Numeric,0,6,0,0,0,0
DYN_TRNRP_PL,H_FXIPLGB2,Numeric,0,6,0,0,0,0
Simulation,GK_TYPE,Char,0,0,5,0,0,0
Simulation,GK_TYPO,Char,0,0,5,0,0,0
33,REP_DATE2,Date,0,0,0,1,0,0
Simulation,CONVEXIT1,American,0,1,0,0,0,0
DYN_TRNRP_PL,TP_SECCMT3,Char,1,13,0,0,0,0
Copy Creation,CATEGORY0,Char,1,0,0,0,0,0
Payments,PF_FAMILY,Char,1,0,0,0,0,0
DYN_TRNRP_CS,TP_IQTYS,American,4,1,0,0,0,0
DYN_TRNRP_PL,PAY_P_ROLC,Char,0,1,0,0,0,0
DYN_TRNRP_PL,D_NOTIONAL,American,0,1,0,0,0,0
DYN_TRNRP_PL,H_PREMDISC,Numeric,0,0,2,0,0,0
DYN_TRNRP_PL,H_NETMG_MM,Numeric,0,5,0,0,0,0
DYN_TRNRP_MV,ZDISC_PL,Numeric,17,0,0,0,0,0
DYN_TRNRP_DT,DT_END3,Date,3,0,0,0,1,0
DYN_TRNRP_DT,DT_END0,Date,7,5,2,0,1,1
DYN_TRNRP_DT,DT_END1,Date,3,0,0,0,1,1
Collateral,RATINGFT,,0,0,0,0,0,2
DYN_TRNRP_PL,ACCR_MODE,Numeric,1,0,0,0,0,0
,CG_MV_REV,American,0,0,0,0,0,2
DYN_TRNRP_PL,H_RTNBDAY9,Numeric,1,0,0,0,0,0
Accounting (Reporting),NB_AMD,Numeric,1,0,0,0,0,0
51,DSPT_VLD,Char,2,0,0,0,0,0
DYN_TRNRP_PL,H_RTNBDAY1,Numeric,2,0,0,0,0,0
DYN_TRNRP_PL,H_RTNBDAY2,Numeric,2,0,0,0,0,0
DYN_TRNRP_PL,H_RTNBDAY3,Numeric,2,0,0,0,0,0
